artist,tags
Gen Hoshino,japanese | j-pop | rnb | jazz | the best | jpop | pop
Ben Woodward,rock | indie | 1 in 360 | christian
Ingrid Michaelson,female vocalists | singer-songwriter | indie | acoustic | indie pop | pop | folk | american | female vocalist | alternative
Kina Grannis,acoustic | female vocalists | singer-songwriter | singer songwriter | pop | guitar | indie | folk | mellow | american
Chord Overstreet,glee | soundtrack | glee cast | male vocalists | musical | pop | rock | actors | best friends | chord overstreet
Tyrone Wells,acoustic | singer-songwriter | folk | soft rock | mellow | pop | indie | male vocalists | pop rock | american
A Great Big World,indie | indie pop | pop | american | piano | indie rock | usa | male vocalists | a great big world | sad
Jason Mraz,acoustic | singer-songwriter | pop | alternative | rock | male vocalists | indie | american | jason mraz | folk
Ross Copperman,singer-songwriter | pop rock | acoustic | piano rock | pop | male vocalists | rock | ross copperman | american | indie
Zack Tabudlo,opm | singer-songwriter | indie pop | rnb | filipino | alt-pop | pop | alt pop | male vocalists | philippines
Dan Berk,cover | usa | new york | new york city | united states
Anna Hamilton,female vocalists | swedish | all | scandinavian girls | under 2000 listeners | spotify
Landon Pigg,singer-songwriter | indie | indie pop | alternative | male vocalists | american | pop | acoustic | chill | landon pigg
Andrew Foy,fingerstyle guitar
Boyce Avenue,acoustic | alternative | rock | indie | youtube | cover | pop rock | alternative rock | male vocalists | american
Brandi Carlile,female vocalists | folk | singer-songwriter | indie | alt-country | american | rock | folk rock | country | acoustic
KT Tunstall,female vocalists | singer-songwriter | pop | indie | alternative | folk | scottish | british | rock | acoustic
Eddie Vedder,singer-songwriter | grunge | rock | folk | alternative | acoustic | alternative rock | folk rock | soundtrack | american
Highland Peak,
Motohiro Hata,japanese | j-pop | singer-songwriter | male vocalists | pop | asian | jpop | japanese music | office augusta | my favorite
Andrew Belle,singer-songwriter | indie | acoustic | folk | pop | male vocalists | american | indie folk | indie pop | rock
Ron Pope,acoustic | singer-songwriter | indie | piano | piano rock | american | male vocalists | acoustic rock | rock | pop rock
Adam Christopher,acoustic | pop | electro | lindo | christopher | legal | adam | musica bonita | pop artist
Aron Wright,acoustic | singer-songwriter | american | indie | soundtrack | electronic | cinematic | indie folk | melancholic | all
Sara Bareilles,female vocalists | pop | singer-songwriter | piano | acoustic | american | folk | sara bareilles | indie | pop rock
Kurt Cobain,grunge | rock | singer-songwriter | alternative rock | 90s | nirvana | the best | punk | usa | experimental
Tim Halperin,omaha nebraska music | nebraska music | fort worth singer songwriter | fort worth music | piano driven pop | dallas singer songwriter | come on get higher | halperin | tim halperin | the luckiest
Canyon City,folk | acoustic | alternative | indie | indie pop | indie folk | singer-songwriter | minimalistic | indie-folk | american
Aaron Espe,indie pop | folk | indie folk | american | soft rock | singer-songwriter | usa | male vocalists | denver | christian
Tyler Ward,cover | singer-songwriter | pop | acoustic | colorado | youtube | rnb | tyler ward | male vocalists | american
Five For Fighting,alternative | singer-songwriter | rock | alternative rock | pop | piano | piano rock | pop rock | indie | acoustic
Bailey Jehl,pop | singer-songwriter | electronic
Drew Holcomb & The Neighbors,folk | singer-songwriter | americana | christian | alt-country | alternative | country | folk rock | blues | american
Gabrielle Aplin,acoustic | indie pop | female vocalists | piano | indie | british | singer-songwriter | pop | folk | alternative rock
The Civil Wars,folk | acoustic | singer-songwriter | indie | pop | american | indie folk | americana | female vocalists | country
Callum J Wright,uk
Mone Kamishiraishi,j-pop | japanese | jpop | anime | female vocalists | city pop
John Adams,contemporary classical | minimalism | classical | avant-garde | composers | composer | american | 20th century classical | 20th century | minimalist
Kitri,japanese | j-pop | female vocalists | indie | piano | alternative | pop | indie pop | classical | female
Augustana,piano rock | alternative | indie | alternative rock | rock | indie rock | piano | american | pop rock | augustana
Matthew Perryman Jones,singer-songwriter | folk | rock | alternative | nashville | soundtrack | indie | great song | pop rock | american
Ray LaMontagne,folk | singer-songwriter | acoustic | indie | acoustic rock | american | soul | folk rock | male vocalists | ray lamontagne
Meg Birch,singer-songwriter | indiecoustica
Catherine Feeny,folk | female vocalists | singer-songwriter | indie | female vocalist | acoustic | american | romantic | indie folk | usa
Joshua Hyslop,canadian | singer-songwriter | folk | indie | indie folk | nettwerk | ambient folk | nettwerk records | ref | rock-indie folk
JJ Heller,christian | acoustic | female vocalists | folk | singer-songwriter | christian woman | gospel | contemporary christian | forbeth | female
Howie Day,singer-songwriter | acoustic | rock | alternative | pop | male vocalists | american | indie | acoustic rock | pop rock
Ben Rector,singer-songwriter | piano rock | piano | christian | pop rock | oklahoma | pop | male vocalists | tulsa | american
Matt Nathanson,singer-songwriter | acoustic | indie | acoustic rock | rock | male vocalists | alternative | american | matt nathanson | folk
Rachael Yamagata,female vocalists | singer-songwriter | indie | piano | alternative | american | pop | indie pop | folk | acoustic
Parachute,pop | ambient | electronic | chill out | rock | indie | alternative | drone | pop rock | american
Susie Suh,female vocalists | singer-songwriter | indie | alternative | blues | acoustic | folk | american | pop | korean
Eden Elf,indie pop | france
Cary Brothers,indie | singer-songwriter | acoustic | alternative | rock | indie rock | american | male vocalists | folk | alternative rock
The Mayries,folk | covers | acoustic | singer-songwriter | female vocalists | duo | sweden | sverige | funk_add_to_lidarr_batch_27 | indie acoustic
Joseph Sullinger,classical guitar | guitar | cover | instrumental | 4 stars | united states | american | spotify | fingerstyle guitar
Tobey Rosen,
Aqualung,indie | singer-songwriter | alternative | indie rock | rock | british | piano rock | piano | male vocalists | britpop
Agustín Amigó,guitar | german | spanish | germany | spain | fingerstyle guitar
Amy Stroup,singer-songwriter | indie | female vocalists | pop | female vocalist | indie pop | acoustic | female | usa | folk
Caleb Santos,caleb santos | philippines | caleb rates | calebmusik21 | xlr8
Priscilla Ahn,folk | female vocalists | singer-songwriter | acoustic | indie | american | female vocalist | indie pop | indie folk | pop
Jon Bryant,blues | folk | canadian | indie | acoustic | pop | jazz | singer-songwriter | indie rock | pop rock
Donovan Woods,folk | singer-songwriter | canadian | acoustic | indie folk | all | canada | dude and guitar | male vocalists | slow-coustic
Angelina Cruz,
Stephen Speaks,acoustic | pop | singer-songwriter | mellow | all | guitar | indie | piano | pop rock | usa
The Weepies,folk | indie | acoustic | singer-songwriter | mellow | american | indie pop | indie folk | female vocalists | pop
Freddie King,blues | blues rock | guitar | electric blues | classic blues | texas blues | allboutguitar | freddie king | blues-rockclub | american
Taj Mahal,blues | blues rock | folk | acoustic | rock | guitar | american | singer-songwriter | taj mahal | harmonica
Keb' Mo',blues | singer-songwriter | contemporary blues | delta blues | rhythm and blues | acoustic blues | guitar | acoustic | keb mo | soul
Thomas Daniel,
Masayoshi Yamazaki,japanese | j-pop | singer-songwriter | acoustic | pop | male vocalists | soundtrack | blues | folk | jpop
Todd Carey,singer-songwriter | pop | feelgood | alternative pop | il | american | indie
YUZU,j-pop | japanese | folk | jpop | j-rock | yuzu | pop | male vocalists | duo | asian
Jonah Baker,singer-songwriter | acoustic pop | neo mellow | indiecoustica
Anna Nalick,female vocalists | singer-songwriter | pop | indie | alternative | anna nalick | american | rock | female vocalist | acoustic
Us The Duo,pop | folk | duo | soundtrack | folks | united states | accoustic | funk_add_to_lidarr_batch_28 | to::listen::to
Megan Davies,indie | folk | singer-songwriter | acoustic | female vocalists | pop | american | great discovery | funk_add_to_lidarr_batch_18
Amos Lee,singer-songwriter | folk | soul | acoustic | jazz | blues | american | male vocalists | amos lee | mellow
Days N Daze,folk punk | punk | riot folk | folk | thrashgrass | acoustic | punk rock | folk-punk | acoustic punk | usa
Mindy Gledhill,female vocalists | indie | easy listening | indie pop | lds | american | piano | pop | mellow | christian music
Dave Barnes,singer-songwriter | acoustic | soul | male vocalists | folk rock | christian | singer songwriter | pop | rock | american
Get Dead,punk | punk rock | folk punk | folk | acoustic | rock | american | acoustic punk | california | usa
Albert King,blues | rhythm and blues | electric blues | guitar | classic blues | albert king | blues rock | american | chicago blues | soul
Aoi Teshima,japanese | j-pop | female vocalists | soundtrack | anime | acoustic | calm | pop | ballad | easy listening
Jae Hall,
A Fine Frenzy,female vocalists | indie | singer-songwriter | piano | pop | alternative | american | indie pop | female vocalist | acoustic
Roses & Frey,
Aidan Hawken,indie | acoustic | singer-songwriter | aidan hawken | city: san francisco | male | usa | mtce new fantastic | 0 play yet | indie rock
The Rescues,indie | indie rock | rock | acoustic | female vocalists | alternative | american | grey's anatomy | multi-instrumentalist | singer-songwriter
Ivan & Alyosha,indie | seattle | alternative | rock | folk | indie rock | folk pop | ivan and alyosha | indie pop | pop
Austin Plaine,american | folk | folk pop
Plamina,
Phillip LaRue,acoustic | singer-songwriter | alternative | pop | christian | indie | american | discoverockult | indie folk | americana
krissy & ericka,opm | acoustic | philippines | pop | female vocalists | country | all | teen pop | filipino | pinoy pop
Takehara Pistol,
Allman Brown,singer-songwriter | folk rock | rock | indie | folk-rock | england | british | united kingdom | hairy chest | sofar sounds
Eddy Tyler,fingerstyle guitar
Joy Williams,female vocalists | pop | christian | contemporary christian | christian pop | indie | american | soft rock | singer-songwriter | gospel
Lusaint,soul | jazz | indie pop | pop | female vocalists | manchester | british | united kingdom | great britain
Mother's Daughter,
The Perishers,indie | swedish | indie rock | alternative | rock | indie pop | alternative rock | scandinavian | mellow | sweden
Matt Johnson,post-punk | alternative | funk | indie rock | the the | post punk | ambient | acoustic | new wave | soul
Greg Laswell,singer-songwriter | indie | alternative | melodic | rock | male vocalists | folk | acoustic | american | indie rock
Joe Brooks,acoustic | singer-songwriter | pop | soul | male vocalists | british | christian | indie | alternative rock | beautiful
Masaharu Fukuyama,j-pop | japanese | singer-songwriter | male vocalists | pop | j-rock | jpop | rock | fukuyama masaharu | instrumental
Ciaran Lavery,irish | folk | ireland | lo-fi | male vocalists | try | singer-songwriter | 10s | :to listen to again later: | artists to check
John Frusciante,experimental | alternative | singer-songwriter | rock | alternative rock | lo-fi | psychedelic | guitar | experimental rock | indie
Sara Farell,country | pop | singer-songwriter | indie | indie pop | dance | sweden | sverige | female vocalists | stockholm
Rodrigo y Gabriela,acoustic | instrumental | guitar | flamenco | latin | mexican | world | mexico | folk | acoustic guitar
Front Porch Step,acoustic | pop punk | fedoracore | indie | emo | oh | rock | front porch shrek | pop-punk | alternative rock
Eric Hutchinson,singer-songwriter | acoustic | indie | pop | catchy | fun | folk | eric hutchinson | male vocalists | rock
Brett Dennen,folk | singer-songwriter | acoustic | indie | mellow | brett dennen | american | indie folk | male vocalists | chill
Rail Yard Ghosts,folk punk | punk | gypsy | folk | spotify | blackgrass | acoustic | bluegrass | usa | punk rock
The Bridge City Sinners,folk punk | dark folk | alt-country | country | americana | folk | punk | usa | female vocalists | folk-punk
Frank Turner,folk | singer-songwriter | acoustic | british | indie | folk punk | punk | folk rock | rock | alternative
Matt Costa,singer-songwriter | acoustic | folk | indie | alternative | acoustic guitar | chill | american | indie rock | surf
Ichiko Aoba,folk | singer-songwriter | japanese | chamber folk | contemporary folk | japan | ambient | female vocalists | new age | acoustic
Meiko,female vocalists | singer-songwriter | folk | indie | acoustic | female vocalist | american | pop | indie pop | meiko
Erin McCarley,female vocalists | indie | singer-songwriter | pop | rock | alternative | acoustic | american | female vocalist | pop rock
Isabella Celander,
Amber Leigh Irish,
Jess Penner,singer-songwriter | female vocalists | indie pop | rock | pop | indie | female voices | letmelikeit | female vocalist | usa
Daniel Robinson,pop | electropop | synthpop | electronic | electronica
Yosui Inoue,japanese | folk | acoustic | j-pop | pop | funk | rock | j-rock | japan | singer-songwriter
Blame Jones,
Matt White,acoustic | singer-songwriter | indie | alternative | pop | male vocalists | matt white | chill | indie pop | usa
Madi Diaz,indie | alt-country | americana | nashville | kickasstic | pay attention | recommended | female vocalists | singer-songwriter | folk
Tristan Prettyman,acoustic | singer-songwriter | female vocalists | folk | acoustic rock | pop | tristan prettyman | american | indie | guitar
Mark Oblea,
Hanare Gumi,
RENT STRIKE,punk | folk punk | anarcho-punk | folk | riot folk | usa
Mischief Brew,folk punk | punk | folk | anarcho-punk | folk-punk | american | riot folk | plan-it-x | philadelphia | anarcho
Grace George,
Jack Savoretti,acoustic | singer-songwriter | folk | mellow | rock | indie | british | male vocalists | pop | folk rock
Richard Walters,acoustic | singer-songwriter | british | indie | oxford | male vocalists | folk | indie pop | alternative | all
Kaiak,sweden | swedish | sweden swedish
Bailey Rushlow,sad pop | acoustic pop | acoustic cover
Wayne Mack,
Aimyon,j-pop | japanese | pop | singer-songwriter | female vocalists | japan | pop rock | female vocalist | jpop | rock
Sungha Jung,acoustic | guitar | fingerstyle | instrumental | south korean | korean | sungha jung | genius | acoustic guitar | classical
